点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
763,10kV,10kV和瑞园线,156线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,156网络通讯正常,156网络通讯正常
764,10kV,10kV汇利线,158线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,158重合闸动作,158重合闸动作
765,10kV,10kV汇利线,158线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,158过流Ⅰ段动作（速断）,158过流Ⅰ段动作（速断）
766,10kV,10kV汇利线,158线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,158过流Ⅱ段动作（过流）,158过流Ⅱ段动作（过流）
767,10kV,10kV汇利线,158线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,158装置报警,158装置报警
768,10kV,10kV汇利线,158开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,158控制回路断线,158控制回路断线
769,10kV,10kV汇利线,158线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,158过负荷报警,158过负荷报警
770,10kV,10kV汇利线,158开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,158弹簧未储能,158弹簧未储能
771,10kV,10kV汇利线,158线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,158测控屏远方/就地,158测控屏远方/就地
772,10kV,10kV汇利线,158线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,158闭锁重合压板,158闭锁重合压板
773,10kV,10kV汇利线,158线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,158信号复归开入,158信号复归开入
774,10kV,10kV汇利线,158线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,158装置检修,158装置检修
775,10kV,10kV汇利线,158开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,158储能电源跳闸,158储能电源跳闸
776,10kV,10kV汇利线,158开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,158电缆室/开关室加热器故障,158电缆室/开关室加热器故障
777,10kV,10kV汇利线,158线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,158网络通讯正常,158网络通讯正常
778,10kV,10kV162备用线,162线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,162重合闸动作,162重合闸动作
779,10kV,10kV162备用线,162线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,162过流Ⅰ段动作（速断）,162过流Ⅰ段动作（速断）
780,10kV,10kV162备用线,162线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,162过流Ⅱ段动作（过流）,162过流Ⅱ段动作（过流）
781,10kV,10kV162备用线,162线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,162装置报警,162装置报警
782,10kV,10kV162备用线,162开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,162控制回路断线,162控制回路断线
783,10kV,10kV162备用线,162线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,162过负荷报警,162过负荷报警
784,10kV,10kV162备用线,162开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,162弹簧未储能,162弹簧未储能
785,10kV,10kV162备用线,162线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,162测控屏远方/就地,162测控屏远方/就地
786,10kV,10kV162备用线,162线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,162闭锁重合压板,162闭锁重合压板
787,10kV,10kV162备用线,162线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,162信号复归开入,162信号复归开入
788,10kV,10kV162备用线,162线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,162装置检修,162装置检修
789,10kV,10kV162备用线,162开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,162储能电源跳闸,162储能电源跳闸
790,10kV,10kV162备用线,162开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,162电缆室/开关室加热器故障,162电缆室/开关室加热器故障
791,10kV,10kV162备用线,162线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,162网络通讯正常,162网络通讯正常
792,10kV,10kV颐西湖线,164线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,164重合闸动作,164重合闸动作
793,10kV,10kV颐西湖线,164线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,164过流Ⅰ段动作（速断）,164过流Ⅰ段动作（速断）
794,10kV,10kV颐西湖线,164线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,164过流Ⅱ段动作（过流）,164过流Ⅱ段动作（过流）
795,10kV,10kV颐西湖线,164线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,164装置报警,164装置报警
796,10kV,10kV颐西湖线,164开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,164控制回路断线,164控制回路断线
797,10kV,10kV颐西湖线,164线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,164过负荷报警,164过负荷报警
798,10kV,10kV颐西湖线,164开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,164弹簧未储能,164弹簧未储能
799,10kV,10kV颐西湖线,164线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,164测控屏远方/就地,164测控屏远方/就地
800,10kV,10kV颐西湖线,164线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,164闭锁重合压板,164闭锁重合压板
801,10kV,10kV颐西湖线,164线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,164信号复归开入,164信号复归开入
802,10kV,10kV颐西湖线,164线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,164装置检修,164装置检修
803,10kV,10kV颐西湖线,164开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,164储能电源跳闸,164储能电源跳闸
804,10kV,10kV颐西湖线,164开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,164电缆室/开关室加热器故障,164电缆室/开关室加热器故障
805,10kV,10kV颐西湖线,164线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,164网络通讯正常,164网络通讯正常
806,10kV,10kV160接地变,160接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,160重合闸动作,160重合闸动作
807,10kV,10kV160接地变,160接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,160过流Ⅰ段动作（速断）,160过流Ⅰ段动作（速断）
808,10kV,10kV160接地变,160接地变保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,160过流Ⅱ段动作（过流）,160过流Ⅱ段动作（过流）
809,10kV,10kV160接地变,160接地变保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160装置报警,160装置报警
810,10kV,10kV160接地变,160开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,160控制回路断线,160控制回路断线
811,10kV,10kV160接地变,160接地变保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,160过负荷报警,160过负荷报警
812,10kV,10kV160接地变,160开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,160弹簧未储能,160弹簧未储能
813,10kV,10kV160接地变,160接地变保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,160测控屏远方/就地,160测控屏远方/就地
814,10kV,10kV160接地变,160接地变保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,160闭锁重合压板,160闭锁重合压板
815,10kV,10kV160接地变,160接地变保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,160信号复归开入,160信号复归开入
816,10kV,10kV160接地变,160接地变保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,160装置检修,160装置检修
817,10kV,10kV160接地变,160开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,160储能电源跳闸,160储能电源跳闸
818,10kV,10kV160接地变,160开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,160电缆室/开关室加热器故障,160电缆室/开关室加热器故障
819,10kV,10kV160接地变,160接地变保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,160网络通讯正常,160网络通讯正常
820,10kV,10kV168备用线,168线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,168重合闸动作,168重合闸动作
821,10kV,10kV168备用线,168线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,168过流Ⅰ段动作（速断）,168过流Ⅰ段动作（速断）
822,10kV,10kV168备用线,168线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,168过流Ⅱ段动作（过流）,168过流Ⅱ段动作（过流）
823,10kV,10kV168备用线,168线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,168装置报警,168装置报警
824,10kV,10kV168备用线,168开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,168控制回路断线,168控制回路断线
825,10kV,10kV168备用线,168线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,168过负荷报警,168过负荷报警
826,10kV,10kV168备用线,168开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,168弹簧未储能,168弹簧未储能
827,10kV,10kV168备用线,168线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,168测控屏远方/就地,168测控屏远方/就地
828,10kV,10kV168备用线,168线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,168闭锁重合压板,168闭锁重合压板
829,10kV,10kV168备用线,168线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,168信号复归开入,168信号复归开入
830,10kV,10kV168备用线,168线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,168装置检修,168装置检修
831,10kV,10kV168备用线,168开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,168储能电源跳闸,168储能电源跳闸
832,10kV,10kV168备用线,168开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,168电缆室/开关室加热器故障,168电缆室/开关室加热器故障
833,10kV,10kV168备用线,168线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,168网络通讯正常,168网络通讯正常
834,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061过流Ⅰ段动作（速断）,2061过流Ⅰ段动作（速断）
835,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061过流Ⅱ段动作（过流）,2061过流Ⅱ段动作（过流）
836,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061过电压动作,2061过电压动作
837,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061低电压动作,2061低电压动作
838,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061不平衡电压1动作,2061不平衡电压1动作
839,10kV,10kV2061电容器,2061电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2061不平衡电压2动作,2061不平衡电压2动作
840,10kV,10kV2061电容器,2061电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2061装置报警,2061装置报警
841,10kV,10kV2061电容器,2061电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2061PT断线,2061PT断线
842,10kV,10kV2061电容器,2061开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2061控制回路断线,2061控制回路断线
843,10kV,10kV2061电容器,2061开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,2061弹簧未储能,2061弹簧未储能
844,10kV,10kV2061电容器,2061电容器保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,2061测控屏远方/就地,2061测控屏远方/就地
845,10kV,10kV2061电容器,2061电容器保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,2061投低电压保护,2061投低电压保护
846,10kV,10kV2061电容器,2061电容器保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,2061信号复归开入,2061信号复归开入
847,10kV,10kV2061电容器,2061电容器保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,2061装置检修,2061装置检修
848,10kV,10kV2061电容器,2061开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2061储能电源跳闸,2061储能电源跳闸
849,10kV,10kV2061电容器,2061开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2061加热回路故障,2061加热回路故障
850,10kV,10kV2061电容器,2061电容器保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,2061网络通讯正常,2061网络通讯正常
851,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062过流Ⅰ段动作（速断）,2062过流Ⅰ段动作（速断）
852,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062过流Ⅱ段动作（过流）,2062过流Ⅱ段动作（过流）
853,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062过电压动作,2062过电压动作
854,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062低电压动作,2062低电压动作
855,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062不平衡电压1动作,2062不平衡电压1动作
856,10kV,10kV2062电容器,2062电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2062不平衡电压2动作,2062不平衡电压2动作
857,10kV,10kV2062电容器,2062电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2062装置报警,2062装置报警
858,10kV,10kV2062电容器,2062电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2062PT断线,2062PT断线
859,10kV,10kV2062电容器,2062开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2062控制回路断线,2062控制回路断线
860,10kV,10kV2062电容器,2062开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,2062弹簧未储能,2062弹簧未储能
861,10kV,10kV2062电容器,2062电容器保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,2062测控屏远方/就地,2062测控屏远方/就地
